Index,MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,Hero_Rating,movie_rating,content_rating
248,Iravukku Aayiram Kangal,Action,7.3,Mu. Maran,Abhinayashree,978,2018,7,9,7.766666667
249,Irumbu Thirai,Action,7.7,P.S. Mithran,Vishal,3373,2018,8,8,7.9
250,Mahanati,Biography,8.5,Savitri,Nag Ashwin,8703,2018,5,9,7.5
251,Iruttu Araiyil Murattu Kuthu,Horror,4.2,Santhosh P. Jayakumar,Yaashika Aanand,700,2018,6,9,6.4
252,Kaala,Action,6.7,Pa. Ranjith,Rajinikanth,7486,2018,5,8,6.566666667
253,Karu,Drama,5.7,A.L. Vijay,Sai Pallavi,416,2018,4,8,5.9
254,Mercury,Horror,6.1,Karthik Subbaraj,Prabhu Deva,827,2018,5,8,6.366666667
255,Tik Tik Tik,Action,6.1,Shakti Soundar Rajan,Jayam Ravi,2172,2018,8,7,7.033333333
256,6 Athiyayam,Horror,4.2,Ajayan Bala,Lokesh Rajendran,32,2018,8,8,6.733333333
257,Naachiyaar,Action,6.8,Bala,Ivana,6140,2018,5,7,6.266666667
258,Savarakathi,Comedy,7.1,G.R. Adithya,Ram,420,2018,5,8,6.7
259,Kalakalappu 2,Comedy,4.9,Sundar C.,Yogi Babu,572,2018,7,9,6.966666667
260,Merku Thodarchi Malai,Drama,8.6,Lenin Bharati,Leninbharati,35981,2018,8,8,8.2
261,Bhaagamathie,Action,7,Ashok G.,Anushka Shetty,2209,2018,9,9,8.333333333
262,Nimir,Comedy,6.3,Priya Darshan,Priyadarshan,55126,2018,8,7,7.1
263,Oru Nalla Naal Paathu Solren,Comedy,6.8,P. Arumugakumar,Annayya,1877,2018,7,8,7.266666667
264,Thaanaa Serndha Koottam,Action,6.8,Vignesh Shivan,Suriya,4655,2018,5,9,6.933333333
265,Sketch,Action,5.7,Vijay Chandar,Vikram,1589,2018,7,9,7.233333333
266,Enai Noki Paayum Thota,Action,5.7,Gautham Vasudev Menon,Dhanush,1198,2019,8,8,7.233333333
267,Adithya Varma,Drama,6.4,Gireesaaya,Dhruv Vikram,596,2019,8,7,7.133333333
268,Kaithi,Action,8.5,Lokesh Kanagaraj,Karthi,7603,2019,9,8,8.5
269,Bigil,Action,6.8,Atlee Kumar,Joseph Vijay,9299,2019,9,9,8.266666667
270,100% Kadhal,Comedy,4.6,M.M. Chandramouli,G.V. Prakash Kumar,76,2019,5,8,5.866666667
271,Asuran,Action,8.6,Vetrimaaran,Dhanush,7792,2019,10,7,8.533333333
272,Kaappaan,Action,6.4,K.V. Anand,Suriya,3399,2019,8,8,7.466666667
